, 2013-09-14, 2013-10-13, 2013-11-03, 2013-12-01, 2014-01-25, 2014-02-16, 2014-02-22_spb_city_champs, 2014-03-09, 2014-03-30, 2014-04-19_chronos_protocol, 2014-05-10_spb, 2014-05-11_team, 2014-05-31_spb_regionals, 2014-06-07_draft, 2014-06-15, 2014-07-05_msk_regional, 2014-07-28_spb, 2014-08-02, 2014-08-30, 2014-09-06_draft, 2014-10-04_national,
49, , , , , , , Бушмакин Евгений:980.198, Трескунов Игорь:980.303, Рыжов Александр:979.817, Бушмакин Евгений:980.198, Павлов Алексей:981.125, Филиппов Александр:981.777, Ледовский Артур:982.313, Ледовский Артур:982.313, Ковалев Александр:983.037, Антонов Евгений:981.817, Антонов Евгений:981.817, Селин Станислав:985.715, Мухин Анатолий:987.356, Обернихен Константин:987.512, Куклин Андрей:989.862,49
50, , , , , , , Рыжов Александр:979.817, Малич Антон:980.209, Смышляев Алексей:978.891, Рыжов Александр:979.817, Малынич Александр:980.324, Павлов Алексей:981.125, Филиппов Александр:981.777, Филиппов Александр:981.777, Ледовский Артур:982.313, Филиппов Александр:981.777, Филиппов Александр:981.777, Чепрасов Дмитрий:985.183, Полевиков Александр:987.059, Мухин Анатолий:987.356, Иванов Максим:989.521,50
51, , , , , , , Смышляев Алексей:978.891, Бушмакин Евгений:980.198, Колмаков Петр:977.934, Ратников Николай:979.623, Трескунов Игорь:980.303, Малынич Александр:980.324, Павлов Алексей:981.125, Павлов Алексей:981.125, Антонов Евгений:981.817, Павлов Алексей:981.125, Павлов Алексей:981.125, Ледовский Артур:982.313, Дынников Савел:986.179, Полевиков Александр:987.059, Мухин Анатолий:989.289,51
52, , , , , , , Ковалев Александр:975.806, Рыжов Александр:979.817, Литвиненко Антон:972.524, Ковалев Александр:979.113, Бушмакин Евгений:980.198, Трескунов Игорь:980.303, Малынич Александр:980.324, Малынич Александр:980.324, Филиппов Александр:981.777, Малынич Александр:980.324, Малынич Александр:980.324, Антонов Евгений:981.817, Чепрасов Дмитрий:985.183, Дынников Савел:986.179, Обернихен Константин:987.512,52
53, , , , , , , Антонов Евгений:973.583, Смышляев Алексей:978.891, Николаев Денис:972.299, Смышляев Алексей:978.891, Рыжов Александр:979.817, Бушмакин Евгений:980.198, Трескунов Игорь:980.303, Трескунов Игорь:980.303, Павлов Алексей:981.125, Трескунов Игорь:980.303, Трескунов Игорь:980.303, Филиппов Александр:981.777, Смирнов Михаил:984.842, Чепрасов Дмитрий:985.183, Дынников Савел:986.179,53
54, , , , , , , Литвиненко Антон:972.524, Литвиненко Антон:972.524, Гришин Виктор:971.989, Новикова Лилия:978.444, Макаров Ян:979.768, Рыжов Александр:979.817, Бушмакин Евгений:980.198, Бушмакин Евгений:980.198, Малынич Александр:980.324, Бушмакин Евгений:980.198, Бушмакин Евгений:980.198, Павлов Алексей:981.125, Овешников Андрей:982.980, Смирнов Михаил:984.842, Чепрасов Дмитрий:985.183,54
55, , , , , , , Гришин Виктор:971.989, Гришин Виктор:971.989, Андреев Максим:968.164, Гришин Виктор:977.735, Ратников Николай:979.623, Макаров Ян:979.768, Ковалев Александр:979.851, Рыжов Александр:979.817, Трескунов Игорь:980.303, Рыжов Александр:979.817, Рыжов Александр:979.817, Малынич Александр:980.324, Ледовский Артур:982.313, Ледовский Артур:982.313, Ледовский Артур:982.313,55
56, , , , , , , Андреев Максим:968.164, Антонов Евгений:968.469, Антонов Евгений:966.068, Ельшевский Антон:976.791, Ковалев Александр:979.113, Ратников Николай:979.623, Рыжов Александр:979.817, Макаров Ян:979.768, Бушмакин Евгений:980.198, Макаров Ян:979.768, Макаров Ян:979.768, Трескунов Игорь:980.303, Зелянин Дмитрий:982.014, Зелянин Дмитрий:982.014, Зелянин Дмитрий:982.014,56
57, , , , , , , Пинчук Сергей:964.506, Андреев Максим:968.164, Гончаренко Сергей:964.637, Федин Петр:976.294, Смышляев Алексей:978.891, Гришин Виктор:977.735, Макаров Ян:979.768, Ратников Николай:979.623, Рыжов Александр:979.817, Ратников Николай:979.623, Ратников Николай:979.623, Бушмакин Евгений:980.198, Антонов Евгений:981.817, Антонов Евгений:981.817, Антонов Евгений:981.817,57
58, , , , , , , Ларин Филипп:963.113, Гончаренко Сергей:964.637, Ларин Филипп:963.113, Леньшин Егор:973.429, Новикова Лилия:978.444, Ельшевский Антон:976.791, Ратников Николай:979.623, Гришин Виктор:977.735, Макаров Ян:979.768, Гришин Виктор:977.735, Гришин Виктор:977.735, Рыжов Александр:979.817, Филиппов Александр:981.777, Филиппов Александр:981.777, Филиппов Александр:981.777,58
59, , , , , , , Волков Кирилл:960.471, Ларин Филипп:963.113, Волков Кирилл:960.471, Литвиненко Антон:972.524, Гришин Виктор:977.735, Мягги Константин:976.318, Гришин Виктор:977.735, Ельшевский Антон:976.791, Ратников Николай:979.623, Ярцев Александр:977.612, Ярцев Александр:977.612, Макаров Ян:979.768, Павлов Алексей:981.125, Павлов Алексей:981.125, Павлов Алексей:981.125,59
60, , , , , , , Инина Марина:951.057, Волков Кирилл:960.471, Инина Марина:951.057, Леонов Антон:971.958, Ельшевский Антон:976.791, Федин Петр:976.294, Ельшевский Антон:976.791, Мягги Константин:976.318, Гришин Виктор:977.735, Ельшевский Антон:976.791, Ельшевский Антон:976.791, Ратников Николай:979.623, Малынич Александр:980.324, Малынич Александр:980.324, Малынич Александр:980.324,60
61, , , , , , , , Инина Марина:951.057, Пинчук Сергей:943.762, Николаев Денис:971.017, Мягги Константин:976.318, Ковалев Александр:973.481, Мягги Константин:976.318, Федин Петр:976.294, Ельшевский Антон:976.791, Мягги Константин:976.318, Мягги Константин:976.318, Гришин Виктор:977.735, Трескунов Игорь:980.303, Трескунов Игорь:980.303, Трескунов Игорь:980.303,61
62, , , , , , , , Пинчук Сергей:942.444, Малич Антон:942.406, Орловский Алексей:970.101, Федин Петр:976.294, Леньшин Егор:973.429, Федин Петр:976.294, Леньшин Егор:973.429, Мягги Константин:976.318, Федин Петр:976.294, Федин Петр:976.294, Ельшевский Антон:976.791, Бушмакин Евгений:980.198, Бушмакин Евгений:980.198, Бушмакин Евгений:980.198,62
63, , , , , , , , , , Андреев Максим:968.164, Леньшин Егор:973.429, Литвиненко Антон:972.524, Леньшин Егор:973.429, Литвиненко Антон:972.524, Федин Петр:976.294, Шурыгин Егор:974.611, Селина Анна:975.391, Мягги Константин:976.318, Рыжов Александр:979.817, Рыжов Александр:979.817, Рыжов Александр:979.817,63
64, , , , , , , , , , Володин Антон:966.606, Литвиненко Антон:972.524, Ковшиков Тимофей:971.199, Литвиненко Антон:972.524, Антонов Евгений:972.302, Леньшин Егор:973.429, Леньшин Егор:973.429, Шурыгин Егор:974.611, Федин Петр:976.294, Макаров Ян:979.768, Макаров Ян:979.768, Макаров Ян:979.768,64
65, , , , , , , , , , Колмаков Петр:966.190, Ковшиков Тимофей:971.199, Николаев Денис:971.017, Ковшиков Тимофей:971.199, Ковшиков Тимофей:971.199, Литвиненко Антон:972.524, Литвиненко Антон:972.524, Леньшин Егор:973.429, Селина Анна:975.391, Ратников Николай:979.623, Ратников Николай:979.623, Ратников Николай:979.623,65
66, , , , , , , , , , Антонов Евгений:966.068, Николаев Денис:971.017, Орловский Алексей:970.101, Николаев Денис:971.017, Николаев Денис:971.017, Ковшиков Тимофей:971.199, Ковшиков Тимофей:971.199, Литвиненко Антон:972.524, Белоусов Николай:975.138, Шеляпин Антон:979.420, Шеляпин Антон:979.420, Шеляпин Антон:979.420,66
67, , , , , , , , , , Ларин Филипп:963.113, Орловский Алексей:970.101, Андреев Максим:968.164, Орловский Алексей:970.101, Орловский Алексей:970.101, Николаев Денис:971.017, Николаев Денис:971.017, Ковшиков Тимофей:971.199, Ярцев Александр:974.933, Гришин Виктор:977.735, Гришин Виктор:977.735, Гришин Виктор:977.735,67
68, , , , , , , , , , Пинчук Сергей:956.522, Андреев Максим:968.164, Володин Антон:966.606, Андреев Максим:968.164, Андреев Максим:968.164, Орловский Алексей:970.101, Орловский Алексей:970.101, Николаев Денис:971.017, Леньшин Егор:973.429, Ельшевский Антон:976.791, Ельшевский Антон:976.791, Ельшевский Антон:976.791,68
69, , , , , , , , , , Гончаренко Сергей:951.255, Володин Антон:966.606, Колмаков Петр:966.190, Колмаков Петр:966.190, Колмаков Петр:966.190, Андреев Максим:968.164, Андреев Максим:968.164, Орловский Алексей:970.101, Литвиненко Антон:972.524, Мягги Константин:976.318, Мягги Константин:976.318, Мягги Константин:976.318,69
70, , , , , , , , , , Инина Марина:951.057, Колмаков Петр:966.190, Новикова Лилия:965.382, Новикова Лилия:965.382, Новикова Лилия:965.382, Колмаков Петр:966.190, Колмаков Петр:966.190, Андреев Максим:968.164, Ковшиков Тимофей:971.199, Федин Петр:976.294, Федин Петр:976.294, Федин Петр:976.294,70
71, , , , , , , , , , Волков Кирилл:942.996, Антонов Евгений:966.068, Ларин Филипп:963.113, Ларин Филипп:963.113, Ларин Филипп:963.113, Новикова Лилия:965.382, Ларин Филипп:963.113, Колмаков Петр:966.190, Николаев Денис:971.017, Белоусов Николай:975.138, Белоусов Николай:975.138, Белоусов Николай:975.138,71
72, , , , , , , , , , Малич Антон:931.274, Ларин Филипп:963.113, Антонов Евгений:962.908, Смышляев Алексей:961.198, Смышляев Алексей:961.198, Ларин Филипп:963.113, Малич Антон:961.390, Ларин Филипп:963.113, Орловский Алексей:970.101, Старк Сергей:973.526, Старк Сергей:973.526, Селина Анна:974.987,72
73, , , , , , , , , , , Пинчук Сергей:956.522, Смышляев Алексей:961.198, Малич Антон:961.018, Малич Антон:961.018, Смышляев Алексей:961.198, Смышляев Алексей:961.198, Малич Антон:961.390, Максимов Владимир:969.065, Леньшин Егор:973.429, Леньшин Егор:973.429, Смирнов Михаил:974.644,73
74, , , , , , , , , , , Гончаренко Сергей:951.255, Гончаренко Сергей:951.255, Гончаренко Сергей:951.255, Гончаренко Сергей:951.255, Малич Антон:961.018, Новикова Лилия:960.713, Смышляев Алексей:961.198, Андреев Максим:968.164, Литвиненко Антон:972.524, Литвиненко Антон:972.524, Старк Сергей:973.526,74
75, , , , , , , , , , , Инина Марина:951.057, Инина Марина:951.057, Инина Марина:951.057, Инина Марина:951.057, Гончаренко Сергей:951.255, Гончаренко Сергей:951.255, Новикова Лилия:960.713, Колмаков Петр:966.190, Ковшиков Тимофей:971.199, Ковшиков Тимофей:971.199, Леньшин Егор:973.429,75
76, , , , , , , , , , , Волков Кирилл:942.996, Волков Кирилл:942.996, Леонов Антон:947.786, Леонов Антон:947.786, Инина Марина:951.057, Инина Марина:951.057, Гончаренко Сергей:951.255, Ларин Филипп:963.113, Николаев Денис:971.017, Николаев Денис:971.017, Литвиненко Антон:972.524,76
77, , , , , , , , , , , Малич Антон:931.274, Малич Антон:931.274, Волков Кирилл:942.996, Волков Кирилл:942.996, Леонов Антон:947.786, Леонов Антон:947.786, Инина Марина:951.057, Смышляев Алексей:961.198, Орловский Алексей:970.101, Орловский Алексей:970.101, Ковшиков Тимофей:971.199,77
78, , , , , , , , , , , , , , , Волков Кирилл:942.996, Волков Кирилл:942.996, Леонов Антон:947.786, Новикова Лилия:960.713, Максимов Владимир:969.065, Максимов Владимир:969.065, Николаев Денис:971.017,78
79, , , , , , , , , , , , , , , , Пинчук Алексей:936.066, Волков Кирилл:942.996, Гончаренко Сергей:951.255, Андреев Максим:968.164, Андреев Максим:968.164, Орловский Алексей:970.101,79
80, , , , , , , , , , , , , , , , , Пинчук Алексей:936.066, Инина Марина:951.057, Селина Анна:964.029, Селина Анна:964.029, Максимов Владимир:969.065,80
81, , , , , , , , , , , , , , , , , , Малич Антон:949.764, Ларин Филипп:963.113, Ларин Филипп:963.113, Андреев Максим:968.164,81
82, , , , , , , , , , , , , , , , , , Леонов Антон:947.786, Смышляев Алексей:961.198, Смышляев Алексей:961.198, Ларин Филипп:963.113,82
83, , , , , , , , , , , , , , , , , , Волков Кирилл:942.996, Новикова Лилия:959.649, Новикова Лилия:959.649, Смышляев Алексей:961.198,83
84, , , , , , , , , , , , , , , , , , Пинчук Алексей:936.066, Гончаренко Сергей:951.255, Гончаренко Сергей:951.255, Новикова Лилия:959.649,84
85, , , , , , , , , , , , , , , , , , , Инина Марина:951.057, Инина Марина:951.057, Гольцов Василий:952.661,85
86, , , , , , , , , , , , , , , , , , , Малич Антон:949.764, Малич Антон:949.764, Гончаренко Сергей:951.255,86
87, , , , , , , , , , , , , , , , , , , Леонов Антон:947.786, Леонов Антон:947.786, Инина Марина:951.057,87
88, , , , , , , , , , , , , , , , , , , Волков Кирилл:942.996, Волков Кирилл:942.996, Леонов Антон:947.786,88
89, , , , , , , , , , , , , , , , , , , Колмаков Петр:940.223, Колмаков Петр:940.223, Волков Кирилл:942.996,89
90, , , , , , , , , , , , , , , , , , , Пинчук Алексей:934.924, Пинчук Алексей:934.924, Пинчук Алексей:941.962,90
91, , , , , , , , , , , , , , , , , , , , , Колмаков Петр:934.506,91
92, , , , , , , , , , , , , , , , , , , , , Малич Антон:934.483,92
