, 2013-09-14, 2013-10-13, 2013-11-03, 2013-12-01, 2014-01-25, 2014-02-16, 2014-02-22_spb_city_champs, 2014-03-09, 2014-03-30, 2014-04-19_chronos_protocol, 2014-05-10_spb, 2014-05-11_team, 2014-05-31_spb_regionals, 2014-06-07_draft, 2014-06-15, 2014-07-05_msk_regional, 2014-07-28_spb, 2014-08-02, 2014-08-30, 2014-09-06_draft, 2014-10-04_national,
11, Сизякин Артем:1000.000, Игнатов Владимир:1002.109, Филиппов Александр:1001.799, Абдулазизов Озод:1002.568, Воронцов Денис:1006.399, Телегин Антон:1010.190, Гребенщиков Леонид:1016.399, Воробьев Петя:1020.045, Щербаков Григорий:1027.041, Нащекин Алексей:1032.001, Зубко Дмитрий:1034.536, Воробьев Петя:1035.747, Лапыгин Антон:1039.212, Лапыгин Антон:1039.212, Лапыгин Антон:1039.212, Зубко Дмитрий:1042.760, Абдулазизов Озод:1044.663, Абдулазизов Озод:1044.663, Сорокин Валентин:1046.156, Абдулазизов Озод:1044.663, Воробьев Петя:1042.820,11
12, Новикова Лилия:1000.000, Филиппов Александр:1001.550, Шунин Иван:1001.093, Игнатов Владимир:1002.109, Абдулазизов Озод:1004.859, Зубко Дмитрий:1006.975, Сорокин Валентин:1016.170, Гребенщиков Леонид:1016.399, Ермолаев Алексей:1021.387, Ермолаев Алексей:1028.891, Щербаков Григорий:1032.317, Зубко Дмитрий:1035.410, Ермолаев Алексей:1035.787, Ермолаев Алексей:1035.787, Ермолаев Алексей:1035.787, Ермолаев Алексей:1041.589, Сизякин Артем:1043.737, Воробьев Петя:1042.820, Абдулазизов Озод:1044.663, Воробьев Петя:1042.820, Борц Ларик:1040.024,12
13, Ефремов Александр:994.635, Шунин Иван:1001.093, Рогозин Антон:1000.063, Филиппов Александр:1001.799, Зубко Дмитрий:1003.590, Воронцов Денис:1006.399, Воробьев Петя:1012.476, Сорокин Валентин:1016.170, Гребенщиков Леонид:1016.896, Лапыгин Антон:1025.375, Нащекин Алексей:1032.001, Щербаков Григорий:1032.317, Воробьев Петя:1035.747, Воробьев Петя:1035.747, Воробьев Петя:1035.747, Лапыгин Антон:1039.212, Зубко Дмитрий:1042.760, Зубко Дмитрий:1037.557, Воробьев Петя:1042.820, Лапыгин Антон:1041.744, Сорокин Валентин:1038.824,13
14, Ковалев Александр:990.242, Сизякин Артем:1000.000, Сизякин Артем:1000.000, Шунин Иван:1001.093, Николаев Денис:1002.182, Абдулазизов Озод:1004.133, Дмитриев Павел:1012.371, Дмитриев Павел:1012.371, Сорокин Валентин:1016.170, Смирнов Михаил:1022.132, Ермолаев Алексей:1028.891, Нащекин Алексей:1032.001, Щербаков Григорий:1032.317, Щербаков Григорий:1032.317, Щербаков Григорий:1032.317, Воробьев Петя:1035.747, Воробьев Петя:1035.747, Пинчук Сергей:1034.688, Лапыгин Антон:1041.744, Нащекин Алексей:1038.089, Нащекин Алексей:1038.089,14
15, Филиппов Александр:989.868, Новикова Лилия:1000.000, Ефремов Александр:994.635, Сизякин Артем:1000.000, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Привалов Денис:1011.042, Привалов Денис:1011.042, Дмитриев Павел:1012.371, Елисеев Борис:1018.897, Сорокин Валентин:1028.396, Ермолаев Алексей:1028.891, Нащекин Алексей:1032.001, Нащекин Алексей:1032.001, Нащекин Алексей:1032.001, Нащекин Алексей:1032.001, Нащекин Алексей:1032.001, Нащекин Алексей:1032.001, Нащекин Алексей:1038.089, Пинчук Сергей:1037.653, Сизякин Артем:1028.901,15
16, Обернихен Константин:987.512, Ефремов Александр:994.635, Колмаков Петр:991.537, Леньшин Егор:999.172, Филиппов Александр:1001.328, Филиппов Александр:1001.328, Шурыгин Егор:1010.335, Малахов Алексей:1010.190, Привалов Денис:1011.042, Сорокин Валентин:1018.287, Смирнов Михаил:1022.132, Сорокин Валентин:1028.396, Смирнов Михаил:1022.132, Смирнов Михаил:1022.132, Иванов Алексей:1019.469, Иванов Алексей:1019.469, Дмитриев Павел:1021.659, Сизякин Артем:1028.901, Сизякин Артем:1028.901, Сизякин Артем:1028.901, Булатов Вадим:1027.940,16
17, Чепрасов Дмитрий:985.183, Смирнов Михаил:991.498, Смирнов Михаил:991.498, Ефремов Александр:994.635, Шунин Иван:1001.093, Шунин Иван:1001.093, Малахов Алексей:1010.190, Телегин Антон:1010.190, Малахов Алексей:1010.190, Воробьев Петя:1016.936, Воробьев Петя:1016.936, Смирнов Михаил:1022.132, Иванов Алексей:1019.469, Иванов Алексей:1019.469, Сизякин Артем:1019.372, Гребенщиков Леонид:1016.896, Иванов Алексей:1019.469, Ковалев Александр:1025.409, Ковалев Александр:1022.109, Ковалев Александр:1023.319, Пинчук Сергей:1021.992,17
18, Пинчук Сергей:984.876, Гончаренко Сергей:991.225, Гончаренко Сергей:991.225, Смирнов Михаил:991.498, Анвартдинов Тимур:1000.882, Анвартдинов Тимур:1000.882, Телегин Антон:1010.190, Селин Станислав:1009.503, Телегин Антон:1010.190, Гребенщиков Леонид:1016.896, Гребенщиков Леонид:1016.896, Иванов Алексей:1019.469, Сизякин Артем:1019.372, Сизякин Артем:1019.372, Гребенщиков Леонид:1016.896, Пинчук Сергей:1012.760, Гребенщиков Леонид:1016.896, Дмитриев Павел:1021.659, Иванов Алексей:1019.469, Иванов Алексей:1019.469, Иванов Алексей:1019.469,18
19, Рыжов Александр:979.817, Обернихен Константин:987.512, Абдулазизов Озод:991.065, Гончаренко Сергей:991.225, Сизякин Артем:1000.358, Сизякин Артем:1000.358, Селин Станислав:1009.503, Абдулазизов Озод:1007.968, Селин Станислав:1009.503, Ярцев Александр:1016.064, Ярцев Александр:1016.064, Сизякин Артем:1019.372, Гребенщиков Леонид:1016.896, Гребенщиков Леонид:1016.896, Малахов Алексей:1010.190, Щербаков Григорий:1011.902, Пинчук Сергей:1012.760, Иванов Алексей:1019.469, Дмитриев Павел:1019.393, Дмитриев Павел:1019.393, Ковалев Александр:1018.873,19
20, Инина Марина:951.057, Чепрасов Дмитрий:985.183, Новикова Лилия:990.820, Новикова Лилия:990.820, Леньшин Егор:999.172, Леньшин Егор:1000.048, Воронцов Денис:1006.399, Воронцов Денис:1006.399, Смирнов Михаил:1007.204, Иванов Алексей:1010.885, Иванов Алексей:1010.885, Гребенщиков Леонид:1016.896, Малахов Алексей:1010.190, Малахов Алексей:1010.190, Телегин Антон:1010.190, Малахов Алексей:1010.190, Щербаков Григорий:1011.902, Клюйков Дмитрий:1018.514, Клюйков Дмитрий:1018.514, Клюйков Дмитрий:1018.514, Клюйков Дмитрий:1018.514,20
