, 2016-01-23, 2016-02-06_spb, 2016-02-27, 2016-03-19_spb, 2016-04-02_MOS_SC, 2016-04-30_MOS_Spring, 2016-05-28_MOS_Spring, 2016-06-11_SPB_Spring, 2016-06-25_MOS_Regional, 2016-08-06_MOS_Team, 2016-09-17, 2016-09-30_SPB_Summer, 2016-10-16_MOS_National,
11, Каракасиян Вания:993.856, Ревзин Игорь:1004.233, Кулаев Лев:1005.238, Годелашвили Александр:1010.390, Ветошкин Митя:999.726, Чердаков Евгений:1005.937, Пугачев Никита:1004.009, Фомичев Артем:1008.622, Колмаков Петр:1015.321, Колмаков Петр:1015.321, Ревзин Игорь:1022.906, Мартынов Родион:1030.391, Журавлев Илья:1029.266,11
12, Овсянников Евгений:989.874, Борц Ларик:1000.831, Ветошкин Митя:1004.457, Мухин Анатолий:1009.995, Мартынов Родион:999.536, Пугачев Никита:1004.009, Махов Роман:1001.068, Пугачев Никита:1004.009, Фомичев Артем:1008.622, Смирнов Антон:1012.186, Ветошкин Митя:1015.398, Сучков Николай:1029.719, Иванов Владимир:1025.289,12
13, Колмаков Петр:986.101, Фомичев Артем:1000.464, Ревзин Игорь:1004.233, Кулаев Лев:1005.238, Шурыгин Егор:999.368, Ветошкин Митя:999.726, Ветошкин Митя:999.726, Махов Роман:1001.068, Токун Дмитрий:1005.291, Пугачев Никита:1012.103, Колмаков Петр:1015.321, Фомичев Артем:1015.755, Ветошкин Митя:1024.759,13
14, Лазарев Максим:980.291, Мартынов Родион:999.536, Фомичев Артем:1000.464, Мартынов Родион:999.536, Лазарев Максим:995.324, Мартынов Родион:999.536, Мартынов Родион:999.536, Мартынов Родион:999.536, Махов Роман:1001.068, Фомичев Артем:1008.622, Фомичев Артем:1008.622, Колмаков Петр:1015.321, Сучков Николай:1024.125,14
15, Токун Дмитрий:980.175, Шурыгин Егор:999.368, Мартынов Родион:999.536, Шурыгин Егор:999.368, Гаврилов Андрей:994.665, Гаврилов Андрей:994.665, Гаврилов Андрей:994.665, Ветошкин Митя:996.792, Мартынов Родион:999.536, Махов Роман:1001.068, Махов Роман:1001.068, Ветошкин Митя:1005.140, Бригадирова Анастасия:1019.578,15
16, Лазарев Константин:964.235, Поталицын Михаил:999.320, Шурыгин Егор:999.368, Каракасиян Вания:997.492, Елизаров Антон:991.990, Елизаров Антон:991.990, Елизаров Антон:991.990, Гаврилов Андрей:994.665, Пугачев Никита:995.890, Мартынов Родион:999.536, Мартынов Родион:999.536, Махов Роман:1001.068, Колмаков Петр:1015.321,16
17, Парфиевич Дмитрий:960.297, Каракасиян Вания:993.856, Поталицын Михаил:999.320, Ветошкин Митя:995.647, Ложкин Александр:991.087, Ложкин Александр:991.087, Ложкин Александр:991.087, Елизаров Антон:991.990, Елизаров Антон:991.990, Шурыгин Егор:997.144, Пугачев Никита:999.042, Пугачев Никита:999.042, Ложкин Александр:1012.616,17
18, , Елизаров Антон:991.990, Каракасиян Вания:997.492, Елизаров Антон:991.990, Ганихин Дмитрий:989.527, Кулаев Лев:990.604, Кулаев Лев:990.604, Ложкин Александр:991.087, Лазарев Максим:991.833, Токун Дмитрий:996.461, Токун Дмитрий:993.962, Токун Дмитрий:993.962, Яковлев Артем:1012.604,18
19, , Овсянников Евгений:989.874, Елизаров Антон:991.990, Ложкин Александр:991.087, Каракасиян Вания:988.229, Бакаев Павел:985.070, Бакаев Павел:985.070, Кулаев Лев:990.604, Ложкин Александр:991.087, Лазарев Максим:993.864, Елизаров Антон:991.990, Елизаров Антон:991.990, Смирнов Антон:1008.938,19
20, , Колмаков Петр:986.101, Ложкин Александр:991.087, Колмаков Петр:986.101, Колмаков Петр:986.101, Костинский Виктор:984.350, Костинский Виктор:984.350, Бакаев Павел:985.070, Гаврилов Андрей:989.750, Елизаров Антон:991.990, Стахмич Николай:990.165, Стахмич Николай:990.165, Нелипович Виктор:1008.804,20
21, , Лазарев Максим:980.291, Гаврилов Андрей:988.446, Гаврилов Андрей:981.213, Бакаев Павел:985.070, Ганихин Дмитрий:981.330, Ганихин Дмитрий:981.330, Костинский Виктор:984.350, Смирнов Антон:987.549, Ложкин Александр:991.087, Шурыгин Егор:986.103, Резниченко Роман:988.934, Махов Роман:1001.068,21
22, , Токун Дмитрий:980.175, Колмаков Петр:986.101, Лазарев Максим:980.291, Овсянников Евгений:981.996, Логинов Сергей:979.932, Логинов Сергей:979.932, Ганихин Дмитрий:981.330, Кулаев Лев:987.042, Гаврилов Андрей:985.681, Ложкин Александр:986.092, Шурыгин Егор:986.103, Мальцев Дмитрий:999.842,22
23, , Лазарев Константин:964.235, Щекотилов Андрей:981.755, Токун Дмитрий:980.175, Токун Дмитрий:980.175, Смирнов Антон:977.468, Лазарев Максим:979.914, Логинов Сергей:979.932, Бакаев Павел:985.070, Бакаев Павел:985.070, Гаврилов Андрей:985.681, Ложкин Александр:986.092, Гирник Илья:999.812,23
24, , Ильичев Павел:960.687, Лазарев Максим:980.291, Логинов Сергей:979.932, Логинов Сергей:979.932, Фомичев Артем:976.478, Смирнов Антон:977.468, Лазарев Максим:979.914, Костинский Виктор:984.350, Кулаев Лев:982.346, Нелипович Виктор:984.458, Гаврилов Андрей:985.681, Лазарев Максим:999.016,24
25, , Парфиевич Дмитрий:960.297, Токун Дмитрий:980.175, Фомичев Артем:979.466, Годелашвили Александр:978.921, Лазарев Максим:974.248, Фомичев Артем:976.478, Поталицын Михаил:979.333, Ганихин Дмитрий:981.330, Ганихин Дмитрий:981.330, Лазарев Максим:983.141, Нелипович Виктор:984.458, Стахмич Николай:995.657,25
26, , , Зубко Дмитрий:979.754, Поталицын Михаил:970.883, Фомичев Артем:976.478, Токун Дмитрий:973.168, Поталицын Михаил:970.883, Смирнов Антон:977.468, Афанасьев Сергей:981.298, Логинов Сергей:979.932, Кулаев Лев:982.346, Лазарев Максим:983.141, Афанасьев Сергей:993.931,26
27, , , Лазарев Константин:964.235, Лазарев Константин:964.235, Хохлов Тимофей:972.127, Хохлов Тимофей:972.127, Годелашвили Александр:967.866, Годелашвили Александр:967.866, Логинов Сергей:979.932, Поталицын Михаил:979.333, Ганихин Дмитрий:981.330, Кулаев Лев:982.346, Елизаров Антон:991.990,27
28, , , Смирнов Антон:961.980, Щекотилов Андрей:963.257, Кулаев Лев:971.600, Поталицын Михаил:970.883, Токун Дмитрий:966.799, Токун Дмитрий:966.799, Поталицын Михаил:979.333, Нелипович Виктор:970.172, Логинов Сергей:979.932, Ганихин Дмитрий:981.330, Резниченко Роман:988.934,28
29, , , Ильичев Павел:960.687, Смирнов Антон:961.980, Поталицын Михаил:970.883, Годелашвили Александр:967.866, Шурыгин Егор:965.295, Шурыгин Егор:965.295, Нелипович Виктор:970.667, Годелашвили Александр:967.866, Поталицын Михаил:979.333, Поталицын Михаил:979.333, Токун Дмитрий:988.841,29
30, , , Парфиевич Дмитрий:960.297, Парфиевич Дмитрий:960.297, Лазарев Константин:964.235, Шурыгин Егор:965.295, Лазарев Константин:964.235, Лазарев Константин:964.235, Годелашвили Александр:967.866, Афанасьев Сергей:964.349, Годелашвили Александр:967.866, Селин Олег:975.791, Пугачев Никита:982.898,30
31, , , , Ильичев Павел:946.782, Щекотилов Андрей:963.257, Лазарев Константин:964.235, Щекотилов Андрей:963.257, Щекотилов Андрей:963.257, Шурыгин Егор:965.295, Лазарев Константин:964.235, Лазарев Константин:964.235, Логинов Сергей:970.688, Кулаев Лев:982.346,31
